"","species","time_length","phenochange","min","max","names"
"179",3,15,0.0548563203568068,-0.102579480476884,0.250390501696553,15.3
"206",30,15,0.0128657913218316,-0.168161373427964,0.175011754581299,15.3
"207",31,15,0.0329281974666412,-0.144524920362194,0.215267147769658,15.31
"208",32,15,0.0556656342192617,-0.0960423181744248,0.243507263577186,15.32
"209",33,15,0.00564293878740066,-0.186341595381943,0.166810217307153,15.33
"210",34,15,0.0378335853311916,-0.136856689997187,0.227765831804552,15.34
"211",35,15,0.0170382999460018,-0.151590924255656,0.177658687719147,15.35
"212",36,15,-0.0172639242246534,-0.2025127594728,0.118522201008842,15.36
"213",37,15,0.0940758554895275,-0.0558676295321783,0.32376054829874,15.37
"214",38,15,0.0214141724885347,-0.149920917119396,0.187652198894038,15.38
"215",39,15,0.0119932010123829,-0.174423673539545,0.175209591961304,15.39
"180",4,15,0.00244606558274894,-0.182696352001681,0.162441493093242,15.4
"216",40,15,0.0164990804829812,-0.157596915559061,0.179014264230501,15.4
"217",41,15,-0.00474231598653905,-0.19054052564762,0.144800022534031,15.41
"218",42,15,-0.0118746499191013,-0.220236424884787,0.141034274154072,15.42
"219",43,15,0.00277516489989233,-0.185481488284365,0.158628300049961,15.43
"220",44,15,0.0354391904258968,-0.14406728830247,0.225542152622975,15.44
"221",45,15,-0.0616156627652055,-0.334165959675846,0.0904800306407127,15.45
"222",46,15,0.032248912427686,-0.150427067104309,0.221406429909183,15.46
"223",47,15,0.0290277847342124,-0.148476069258364,0.206148891771756,15.47
"224",48,15,0.04446772016549,-0.125551092458765,0.241820489200254,15.48
"225",49,15,0.0203351346493924,-0.158058828541349,0.190838413973224,15.49
"181",5,15,0.0108236449421405,-0.170174506016656,0.173176770751316,15.5
"226",50,15,0.00302649723514164,-0.190754628956879,0.160940369805571,15.5
"227",51,15,0.0604140992155224,-0.103257295847337,0.26110917372489,15.51
"228",52,15,0.024285259622699,-0.143258364648816,0.190032616757636,15.52
"229",53,15,0.0385550322767594,-0.119565456803779,0.213838746810893,15.53
"230",54,15,-0.00246447640477881,-0.205911386218024,0.153626924704267,15.54
"231",55,15,0.0189322404567703,-0.150692776844207,0.176441917029351,15.55
"232",56,15,0.0427382160623963,-0.109565597686973,0.221545610686853,15.56
"233",57,15,0.0233923088455273,-0.138071801529316,0.185356972582923,15.57
"234",58,15,0.0320529245462263,-0.128102063461342,0.202689689300178,15.58
"235",59,15,0.0297402338608621,-0.123848393925601,0.192655792926833,15.59
"182",6,15,0.0579963034846477,-0.091248629150849,0.255763237480945,15.6
"236",60,15,0.0617006243022185,-0.0972137163362355,0.269831564054307,15.6
"237",61,15,0.0827818414335698,-0.0657389564100271,0.306411357689627,15.61
"238",62,15,0.00856985785141457,-0.178503145666453,0.167102200584446,15.62
"239",63,15,0.00433885343550212,-0.183499023373944,0.159510875473891,15.63
"240",64,15,0.0452682017260165,-0.11135848254548,0.232168095583684,15.64
"241",65,15,0.0227116364242432,-0.147006593622698,0.186180470319354,15.65
"242",66,15,0.00638964178466188,-0.176840539268014,0.15850003585888,15.66
"243",67,15,0.00550309758619466,-0.195154407449346,0.16949343934945,15.67
"244",68,15,0.00758327914922414,-0.189574120408488,0.171852388519756,15.68
"245",69,15,0.0142271554986076,-0.174758275062381,0.183505038091933,15.69
"183",7,15,0.0249864417146266,-0.158176053543853,0.193716987833466,15.7
"246",70,15,0.00329657890802109,-0.17479631657902,0.156456621391255,15.7
"247",71,15,0.0197699087111456,-0.160053795099824,0.18038468726175,15.71
"248",72,15,-0.00785767432572908,-0.194003657165776,0.13508100030851,15.72
"249",73,15,0.0199677376658825,-0.171480394717267,0.19897005757976,15.73
"250",74,15,0.0425003893699048,-0.118352525151431,0.21893909426044,15.74
"251",75,15,-9.5452194517657e-05,-0.210268827078167,0.158414047496221,15.75
"252",76,15,0.0574582066884177,-0.0913408884166658,0.247610638823699,15.76
"253",77,15,0.062364023831817,-0.0979214643374814,0.267014075416419,15.77
"254",78,15,0.0514338188929691,-0.10555564967999,0.239158949259659,15.78
"255",79,15,0.0166622168169151,-0.148116722418125,0.164163655925147,15.79
"184",8,15,0.0566300144573747,-0.108049780657797,0.27333784557018,15.8
"256",80,15,0.0537680386297386,-0.0884983711660833,0.228674505986046,15.8
"257",81,15,0.0394766180363899,-0.129553056962802,0.225079374687683,15.81
"258",82,15,0.0027183883351701,-0.189146160402802,0.157732911236331,15.82
"259",83,15,0.00784751343325155,-0.183150844320129,0.16521378861228,15.83
"260",84,15,0.00283488535335739,-0.179530960681372,0.159197768200763,15.84
"261",85,15,0.0635789796381901,-0.091800559646621,0.273644637163404,15.85
"262",86,15,0.00271521242675407,-0.192932521531128,0.162618742764513,15.86
"263",87,15,-0.0039151768490957,-0.209915341899555,0.148383230591609,15.87
"264",88,15,0.0540804335779574,-0.10385942930851,0.245481849153638,15.88
"185",9,15,0.077062814179428,-0.0746853451204811,0.304879473147094,15.9
"265",1,20,0.0459091993773337,-0.0514053500019294,0.171763190710947,20.1
"274",10,20,0.0448407338826381,-0.0551157041162517,0.168849206096153,20.1
"275",11,20,0.0468461881177304,-0.050231023445504,0.162357128329744,20.11
"276",12,20,0.0330393052802117,-0.0738963642944822,0.133466765515862,20.12
"277",13,20,0.0320000684568157,-0.0846159126073964,0.133456154021679,20.13
"278",14,20,0.0443091861399863,-0.0528569302317505,0.162604892700883,20.14
"279",15,20,0.0430144544253781,-0.0612358976628435,0.166276236256727,20.15
"280",16,20,0.029334285725228,-0.0901477327439284,0.131456932607451,20.16
"281",17,20,0.0120551372969772,-0.139156971712464,0.0974557836124318,20.17
"282",18,20,0.0447018969794917,-0.0523636500379704,0.160557404972442,20.18
"283",19,20,0.0388868203439595,-0.0689950906162761,0.150228955639319,20.19
"266",2,20,0.061909880836203,-0.0290432548584021,0.216359277517576,20.2
"284",20,20,0.04933777629121,-0.0466341179929241,0.173661006860005,20.2
"285",21,20,0.0482041228600847,-0.0513993466376286,0.167289925968793,20.21
"286",22,20,0.0385503575010993,-0.0758784729218711,0.15653136129584,20.22
"287",23,20,0.0248178941601285,-0.10421945334519,0.118583528906757,20.23
"288",24,20,0.04399237808638,-0.0516319255538564,0.162680987813043,20.24
"289",25,20,0.0491246002320383,-0.0508888263042179,0.184346200951837,20.25
"290",26,20,0.045486040493026,-0.0547520058787386,0.17535252705041,20.26
"291",27,20,0.06350072802715,-0.0233107881503258,0.210598751437034,20.27
"292",28,20,0.0323459880073334,-0.0871156806372394,0.135651376259551,20.28
"293",29,20,0.0304379029012062,-0.0927283760789002,0.131074363558533,20.29
"267",3,20,0.0365098933411325,-0.0767826000452485,0.148900536456807,20.3
"294",30,20,0.0415805342949842,-0.0641206368167976,0.156158672850094,20.3
"295",31,20,0.0486572123326317,-0.0465600042731295,0.176139569297415,20.31
"296",32,20,0.0452212556042688,-0.0538620799337286,0.160642656772136,20.32
"297",33,20,0.0231214681245199,-0.10603009268319,0.113461573370847,20.33
"298",34,20,0.0420964739728184,-0.0612089886236108,0.161947033422902,20.34
"299",35,20,0.0402440893303402,-0.056021916278629,0.145518153515544,20.35
"300",36,20,0.0382369643759267,-0.0705038209547813,0.142920764997518,20.36
"301",37,20,0.0437774598845471,-0.0570012433045297,0.160971607685439,20.37
"302",38,20,0.0335198944381958,-0.0902085389673937,0.145256948214832,20.38
"303",39,20,0.0368988752817905,-0.0759457764183119,0.148550598196275,20.39
"268",4,20,0.0180883698130608,-0.11997342944396,0.105282390391576,20.4
"304",40,20,0.028164115911207,-0.0966726511817995,0.133015536331962,20.4
"305",41,20,0.0509171510342597,-0.0418155629849544,0.181247173173517,20.41
"306",42,20,0.0447274948278509,-0.0559991299134026,0.167580224404544,20.42
"307",43,20,0.0353972009537618,-0.0831665186066354,0.143381674078918,20.43
"308",44,20,0.0152895128893838,-0.130890143427207,0.105631573778823,20.44
"309",45,20,0.0425005646354655,-0.063116774584311,0.153982907123815,20.45
"310",46,20,0.0380673044876142,-0.0750228234981547,0.146301477228845,20.46
"311",47,20,0.04179252823166,-0.0626963811192976,0.154614420081797,20.47
"312",48,20,0.0525276377091413,-0.0408278266496971,0.183758134468726,20.48
"313",49,20,0.0387555706740173,-0.0698133590807011,0.153097677823285,20.49
"269",5,20,0.0349509037600324,-0.0764794250972152,0.140301697319489,20.5
"314",50,20,0.0532024653823188,-0.037714148067049,0.179797027161341,20.5
"315",51,20,0.0408962134324441,-0.0595308091187174,0.155819323856906,20.51
"316",52,20,0.047785406987307,-0.0489613148057838,0.169525672400056,20.52
"317",53,20,0.0243695012206667,-0.104076921909136,0.119437926356989,20.53
"318",54,20,0.0430322395989857,-0.0609866151011709,0.164483815701993,20.54
"319",55,20,0.021122154708184,-0.104321964114301,0.110133619245046,20.55
"320",56,20,0.038180382836249,-0.0677164187824785,0.14566924068364,20.56
"321",57,20,0.0431098054966065,-0.0560708212592024,0.162163786401215,20.57
"322",58,20,0.0338897500117396,-0.0791384835395467,0.140635644268464,20.58
"323",59,20,0.0417312350882028,-0.0588513185245143,0.157261055126763,20.59
"270",6,20,0.0273745746288081,-0.0954677094282316,0.126929548276636,20.6
"324",60,20,0.0276253733446436,-0.0960866056209843,0.12954082748343,20.6
"325",61,20,0.0396745912222237,-0.0727725737368682,0.159605371293653,20.61
"326",62,20,0.0322891819282387,-0.0880023886926783,0.136733858959203,20.62
"327",63,20,0.0424890354589911,-0.0652728872386977,0.159074347607166,20.63
"328",64,20,0.0283026712957227,-0.0948908010277324,0.126710202845104,20.64
"329",65,20,0.0346635074969354,-0.0745694482787679,0.139241485069933,20.65
"330",66,20,0.0392770020349459,-0.0599460871947269,0.145313749479396,20.66
"331",67,20,0.0432424598706573,-0.0582854047916707,0.164715499783098,20.67
"332",68,20,0.0420767633134794,-0.0656688484926701,0.161923262421462,20.68
"333",69,20,0.0439328088601049,-0.059521090947999,0.168415227104945,20.69
"271",7,20,0.0502182861594556,-0.0462843569468108,0.183196243306196,20.7
"334",70,20,0.032407223269426,-0.0843656368604551,0.128678701367882,20.7
"335",71,20,0.0660362976543777,-0.0210373827852512,0.227500177467797,20.71
"336",72,20,0.0334160102722304,-0.0834669761928452,0.138490059893837,20.72
"337",73,20,0.0225365817547651,-0.107198342119039,0.115281048150231,20.73
"338",74,20,0.0588500099443154,-0.0277671714135151,0.205169468239446,20.74
"339",75,20,0.037497157696971,-0.069349187438101,0.148568920428315,20.75
"340",76,20,0.0378930450209283,-0.0678026047731227,0.14663535116068,20.76
"341",77,20,0.027979697259647,-0.0963626199502347,0.124589709741918,20.77
"342",78,20,0.0468249657725725,-0.0538919808030965,0.16773890242314,20.78
"343",79,20,0.0198282428425306,-0.11619440630214,0.111142308450896,20.79
"272",8,20,0.0406584702981023,-0.062473310110174,0.154777233579142,20.8
"344",80,20,0.0225679315299768,-0.107968686282525,0.109621299334169,20.8
"345",81,20,0.0474189672396702,-0.0446051159248126,0.162574866654247,20.81
"346",82,20,0.0403381183437012,-0.0689399721220419,0.159773358596463,20.82
"347",83,20,0.013116849396744,-0.138201144730126,0.103493497303964,20.83
"348",84,20,0.0400229617549518,-0.0646988032895053,0.154161763512575,20.84
"349",85,20,0.0406203116561944,-0.0658201055529805,0.158497368862692,20.85
"350",86,20,0.0250547512770482,-0.103535347759738,0.123986098940808,20.86
"351",87,20,0.0385441754021587,-0.0692123320276034,0.148900820130007,20.87
"352",88,20,0.0477800560061909,-0.0494774582010953,0.174639326643389,20.88
"273",9,20,0.0354983470649071,-0.0803658384351949,0.140813425137628,20.9
"353",1,25,0.0164527548657505,-0.0730190423415027,0.131025857145242,25.1
"362",10,25,-0.00371817016481829,-0.108692458045617,0.0816668428862539,25.1
"363",11,25,0.0132086807965392,-0.0765379539719791,0.125275269923095,25.11
"364",12,25,-0.011102696468351,-0.129875086046922,0.0698801995433047,25.12
"365",13,25,-0.000249516439315062,-0.100049748061137,0.0885766801907953,25.13
"366",14,25,0.0136403442899415,-0.0785434516667297,0.126901889989891,25.14
"367",15,25,0.00661753407072758,-0.0877251544620147,0.112166604952643,25.15
"368",16,25,0.0209197480452165,-0.0632168992154085,0.141191466958316,25.16
"369",17,25,0.00253903399290299,-0.0947339243750961,0.0993437908090007,25.17
"370",18,25,-0.00506331645792046,-0.105614575132461,0.0756589966484381,25.18
"371",19,25,-0.000434943042030461,-0.101983995409858,0.0876807984584732,25.19
"354",2,25,-0.0086067752269756,-0.134219436027608,0.077366593350915,25.2
"372",20,25,-0.00416028319925656,-0.111397342230561,0.0835233518855868,25.2
"373",21,25,-0.00272551098953239,-0.111718975842908,0.0906059529765243,25.21
"374",22,25,-0.005186077867521,-0.119386088491798,0.0834760403518929,25.22
"375",23,25,0.00166538572202036,-0.0992756232070309,0.0942064737075694,25.23
"376",24,25,-0.00716013704537116,-0.118280238446502,0.0787726353822818,25.24
"377",25,25,-0.00507627882328439,-0.116667164501198,0.0802443743115655,25.25
"378",26,25,0.00253249795743863,-0.0886772113123966,0.092874791058018,25.26
"379",27,25,0.00104575126707621,-0.0893996785461676,0.0838607456261342,25.27
"380",28,25,-0.0108444270165084,-0.129789501760355,0.074626082597521,25.28
"381",29,25,0.0075013913070706,-0.0816074363056427,0.103218457363131,25.29
"355",3,25,0.0133871011230705,-0.0745328908431981,0.124930586202548,25.3
"382",30,25,-0.00566893114379805,-0.112251238074809,0.0805150382772193,25.3
"383",31,25,0.00407366053779733,-0.0955837824237504,0.103179146020364,25.31
"384",32,25,-0.00320910414135891,-0.11288664860389,0.0864017994278689,25.32
"385",33,25,0.00409025703264398,-0.0899177169245237,0.0932812402893915,25.33
"386",34,25,-0.00548967637482767,-0.117657122506654,0.0779467993346333,25.34
"387",35,25,0.011898908003053,-0.0747616519087594,0.118473891807227,25.35
"388",36,25,0.00302645824110123,-0.0929816632555411,0.0974125522528798,25.36
"389",37,25,-0.00320964390454572,-0.109727103115459,0.0892213527240931,25.37
"390",38,25,0.00847214243021984,-0.0800959615382457,0.104738167106328,25.38
"391",39,25,0.00396956174392857,-0.0920314646455034,0.0966658487445615,25.39
"356",4,25,0.0204637536975856,-0.0598969384381593,0.142358114344882,25.4
"392",40,25,0.00366689112881001,-0.0901857539281555,0.0958454719028735,25.4
"393",41,25,0.00848048034567418,-0.0892293675271713,0.108307447132682,25.41
"394",42,25,0.00493592538779428,-0.0913584802649805,0.104170370353397,25.42
"395",43,25,0.000938137216468423,-0.10618609736725,0.094749304587442,25.43
"396",44,25,-0.00237238036107946,-0.108822824553579,0.0886939307625977,25.44
"397",45,25,0.0191865592531565,-0.0649073213498308,0.135335878178894,25.45
"398",46,25,0.0167879290354402,-0.0670234543977624,0.130427446500172,25.46
"399",47,25,0.00813157591004474,-0.0811754371919367,0.101826912908087,25.47
"400",48,25,-0.00633661839134993,-0.118193059153089,0.0799217467506629,25.48
"401",49,25,0.0095809789301919,-0.0824480819025472,0.114552246782688,25.49
"357",5,25,0.0112786512739028,-0.075161342210348,0.118240489001357,25.5
"402",50,25,-0.00174466545972575,-0.107871449385641,0.0886131540751068,25.5
"403",51,25,0.0100263207922067,-0.0767452284416994,0.109543802956865,25.51
"404",52,25,0.0090774081599256,-0.080598761913501,0.107607437417925,25.52
"405",53,25,0.00450749779909432,-0.093304120618019,0.103006369155763,25.53
"406",54,25,0.0040350823034968,-0.0934828370218372,0.0998460207732696,25.54
"407",55,25,0.020220554337676,-0.0661231638219398,0.138554664084886,25.55
"408",56,25,0.0160198553046641,-0.0664648362659815,0.127549512773337,25.56
"409",57,25,0.00927888586206788,-0.0855693516776608,0.11330620549691,25.57
"410",58,25,-0.00133484681815226,-0.101432520886652,0.091683786159013,25.58
"411",59,25,-0.0069928281935324,-0.117230757333699,0.0799315334455558,25.59
"358",6,25,0.000645666350029321,-0.102984611685193,0.0921862954701918,25.6
"412",60,25,-0.00309686666893253,-0.114089675407848,0.085761002166281,25.6
"413",61,25,-0.00674400231123722,-0.118751206393443,0.0759692385234741,25.61
"414",62,25,0.013743688500429,-0.0704897690320221,0.119560658078305,25.62
"415",63,25,0.0126999873807051,-0.0786071218899476,0.124240604906967,25.63
"416",64,25,0.00262243631278349,-0.0913856508537388,0.0924241126304099,25.64
"417",65,25,0.0076014675350027,-0.0869152718360796,0.109194954052185,25.65
"418",66,25,0.00112187664618864,-0.0986198390182633,0.0941416014472928,25.66
"419",67,25,0.00869238328668411,-0.0760967549863489,0.106765222472071,25.67
"420",68,25,0.00223707585430434,-0.102200528809303,0.100131122397363,25.68
"421",69,25,0.0163550801583865,-0.0707110784427659,0.133022142469042,25.69
"359",7,25,-0.00482213485749684,-0.121182230774789,0.0884090922401255,25.7
"422",70,25,0.0135458961693537,-0.073394903978857,0.11937491950793,25.7
"423",71,25,0.0143062894897204,-0.0748484124171062,0.123640461266589,25.71
"424",72,25,-0.00227755732677211,-0.112679906323742,0.0875406663802221,25.72
"425",73,25,-0.00209396262595049,-0.111071684414589,0.0889641170010777,25.73
"426",74,25,0.0121931727663282,-0.074548016490411,0.117419427755204,25.74
"427",75,25,0.0158188284071805,-0.0686329594195575,0.126719729084501,25.75
"428",76,25,-0.00889162649527895,-0.123739273760883,0.0760138633714643,25.76
"429",77,25,0.00174463441708042,-0.0980460948904873,0.0919262960193334,25.77
"430",78,25,0.0140857830805451,-0.0705444034660919,0.121250022914095,25.78
"431",79,25,-0.00524122722045353,-0.118757132468284,0.0829384733220231,25.79
"360",8,25,0.00718227647824693,-0.0846088219496365,0.108593052627131,25.8
"432",80,25,0.00479563800510338,-0.088970353771277,0.0986261118354058,25.8
"433",81,25,0.0200043932759336,-0.0629681777148773,0.141106544859648,25.81
"434",82,25,-0.00872715382964856,-0.127924913290065,0.0772720383252771,25.82
"435",83,25,0.00816995569996484,-0.0825893802470712,0.110012113078812,25.83
"436",84,25,0.0260721886476341,-0.0543165281468203,0.151100458843765,25.84
"437",85,25,0.00081626897372894,-0.0996950251105765,0.0900807669779839,25.85
"438",86,25,0.011038127203674,-0.0714483533729266,0.111026696778863,25.86
"439",87,25,-0.000790031753953988,-0.104601519307298,0.0925810753723496,25.87
"440",88,25,-0.000785245059792575,-0.108117183051805,0.0912005648910759,25.88
"361",9,25,0.00152947527622465,-0.0958342718669008,0.0949220226190752,25.9
"441",1,30,-0.0155924817291158,-0.106154290886247,0.0674049633014957,30.1
"450",10,30,-0.00274365592036061,-0.0825188795442116,0.0973201902004014,30.1
"451",11,30,-0.00263304223535062,-0.0806488850129362,0.103605934865607,30.11
"452",12,30,-0.0152698618653546,-0.102020047909755,0.0665308590796025,30.12
"453",13,30,-0.0107766052901249,-0.0945373387173296,0.0755694482569549,30.13
"454",14,30,-0.00590113079562573,-0.0896278477026329,0.0921082855709566,30.14
"455",15,30,-0.0115339049191243,-0.0986490997405646,0.0762951127284516,30.15
"456",16,30,-0.00900570222401454,-0.0930459088898363,0.0838460459798053,30.16
"457",17,30,0.00139788919962342,-0.0726831404611738,0.112040589421343,30.17
"458",18,30,-0.00618360988229725,-0.0928369435044417,0.0896735700601698,30.18
"459",19,30,-0.00598647187257275,-0.0878601025300786,0.0918912413793858,30.19
"442",2,30,-0.0244485711907031,-0.129260064122573,0.0539527741619248,30.2
