print(sync.model, pars = c("mu_b", "sigma_y", "a", "b"))
Inference for Stan model: twolevelrandomslope2.
4 chains, each with iter=8000; warmup=4000; thin=1; 
post-warmup draws per chain=4000, total post-warmup draws=16000.

          mean se_mean    sd   2.5%    25%    50%    75%  97.5% n_eff Rhat
b[20]    -0.30    0.00  0.56  -1.43  -0.68  -0.30   0.07   0.79 16000    1
b[21]    -0.78    0.00  0.25  -1.28  -0.95  -0.78  -0.61  -0.28 16000    1
b[22]    -0.83    0.00  0.28  -1.38  -1.01  -0.83  -0.64  -0.27 16000    1
b[23]     0.02    0.00  0.48  -0.92  -0.31   0.01   0.34   0.97 16000    1
b[24]    -0.76    0.00  0.44  -1.64  -1.06  -0.76  -0.46   0.09 16000    1
b[25]    -0.76    0.00  0.49  -1.72  -1.09  -0.75  -0.42   0.18 16000    1
b[26]     0.43    0.00  0.30  -0.15   0.23   0.44   0.64   1.02 16000    1
b[27]    -0.94    0.00  0.29  -1.51  -1.13  -0.94  -0.75  -0.38 16000    1
b[28]    -0.12    0.00  0.28  -0.68  -0.30  -0.12   0.08   0.44 16000    1
b[29]    -0.80    0.00  0.21  -1.21  -0.94  -0.80  -0.66  -0.40 16000    1
b[30]    -0.55    0.00  0.20  -0.95  -0.68  -0.55  -0.42  -0.16 16000    1
b[31]    -0.91    0.00  0.29  -1.48  -1.11  -0.91  -0.72  -0.33 16000    1
b[32]    -0.77    0.00  0.28  -1.33  -0.95  -0.77  -0.58  -0.21 16000    1
b[33]     0.01    0.00  0.40  -0.76  -0.26   0.01   0.28   0.79 16000    1
b[34]    -0.12    0.00  0.25  -0.62  -0.29  -0.12   0.05   0.38 16000    1
b[35]    -0.50    0.00  0.28  -1.06  -0.69  -0.50  -0.32   0.05 16000    1
b[36]    -1.37    0.00  0.37  -2.11  -1.62  -1.37  -1.12  -0.66 16000    1
b[37]    -1.03    0.00  0.26  -1.55  -1.21  -1.03  -0.85  -0.52 16000    1
b[38]    -0.72    0.00  0.50  -1.71  -1.05  -0.72  -0.39   0.26 16000    1
b[39]    -0.62    0.00  0.48  -1.57  -0.94  -0.63  -0.31   0.30 16000    1
b[40]    -0.43    0.00  0.20  -0.83  -0.57  -0.43  -0.30  -0.03 16000    1
b[41]    -0.44    0.00  0.35  -1.13  -0.67  -0.44  -0.20   0.25 16000    1
b[42]    -0.46    0.00  0.37  -1.18  -0.71  -0.46  -0.21   0.27 16000    1
b[43]    -0.32    0.00  0.22  -0.74  -0.47  -0.32  -0.17   0.12 16000    1
b[44]    -0.35    0.00  0.27  -0.89  -0.54  -0.35  -0.16   0.19 16000    1
b[45]     0.11    0.00  0.30  -0.48  -0.09   0.12   0.32   0.72 16000    1
b[46]    -0.68    0.00  0.28  -1.23  -0.87  -0.68  -0.50  -0.14 16000    1
b[47]     0.03    0.00  0.39  -0.73  -0.24   0.02   0.29   0.81 16000    1
b[48]    -0.75    0.00  0.36  -1.45  -0.99  -0.74  -0.51  -0.04 16000    1
b[49]    -0.08    0.00  0.26  -0.59  -0.26  -0.09   0.09   0.42 16000    1
b[50]    -1.40    0.00  0.29  -1.97  -1.60  -1.40  -1.21  -0.84 16000    1
b[51]    -1.09    0.00  0.21  -1.51  -1.23  -1.09  -0.95  -0.67 16000    1
b[52]    -0.61    0.00  0.21  -1.02  -0.76  -0.61  -0.47  -0.19 16000    1
b[53]    -0.36    0.00  0.35  -1.05  -0.60  -0.36  -0.13   0.31 16000    1
b[54]    -0.22    0.00  0.27  -0.75  -0.40  -0.21  -0.03   0.32 16000    1
b[55]    -0.38    0.00  0.36  -1.09  -0.62  -0.37  -0.14   0.34 16000    1
b[56]    -0.31    0.00  0.24  -0.77  -0.47  -0.31  -0.15   0.15 16000    1
b[57]    -0.45    0.00  0.35  -1.13  -0.69  -0.45  -0.22   0.22 16000    1
b[58]    -0.43    0.00  0.21  -0.84  -0.58  -0.43  -0.29  -0.01 16000    1
b[59]    -0.19    0.00  0.48  -1.10  -0.51  -0.19   0.13   0.75 16000    1
b[60]    -0.24    0.00  0.27  -0.76  -0.42  -0.24  -0.05   0.30 16000    1
b[61]    -0.38    0.00  0.35  -1.07  -0.61  -0.38  -0.15   0.30 16000    1
b[62]    -0.34    0.00  0.36  -1.05  -0.58  -0.34  -0.09   0.37 16000    1
b[63]    -0.43    0.00  0.43  -1.27  -0.71  -0.43  -0.14   0.43 16000    1
b[64]    -0.55    0.00  0.21  -0.96  -0.69  -0.55  -0.41  -0.14 16000    1
b[65]    -0.45    0.00  0.30  -1.03  -0.65  -0.45  -0.24   0.12 16000    1
b[66]    -0.62    0.00  0.20  -1.02  -0.76  -0.62  -0.48  -0.22 16000    1
b[67]    -0.84    0.00  0.44  -1.71  -1.14  -0.84  -0.54   0.01 16000    1
b[68]    -0.35    0.00  0.56  -1.44  -0.72  -0.35   0.01   0.76 16000    1
b[69]    -0.61    0.00  0.54  -1.68  -0.97  -0.60  -0.23   0.45 16000    1
b[70]    -0.23    0.00  0.36  -0.93  -0.47  -0.23   0.01   0.49 16000    1
b[71]    -1.99    0.00  0.28  -2.56  -2.19  -1.99  -1.80  -1.43 16000    1
b[72]    -1.72    0.00  0.26  -2.23  -1.89  -1.72  -1.55  -1.21 16000    1
b[73]    -0.34    0.00  0.47  -1.25  -0.66  -0.34  -0.03   0.60 16000    1
b[74]    -0.06    0.00  0.42  -0.87  -0.34  -0.06   0.22   0.77 16000    1
b[75]    -0.39    0.00  0.55  -1.47  -0.76  -0.38  -0.02   0.69 16000    1
b[76]    -0.10    0.00  0.42  -0.91  -0.38  -0.10   0.18   0.73 16000    1
b[77]    -0.30    0.00  0.59  -1.46  -0.69  -0.31   0.08   0.86 16000    1
b[78]    -0.29    0.00  0.22  -0.72  -0.43  -0.29  -0.14   0.13 16000    1
b[79]    -0.28    0.00  0.41  -1.09  -0.56  -0.28  -0.01   0.53 16000    1
b[80]    -0.37    0.00  0.55  -1.45  -0.74  -0.38   0.00   0.71 16000    1
b[81]     0.41    0.00  0.40  -0.34   0.15   0.41   0.68   1.20 16000    1
b[82]     0.45    0.00  0.30  -0.13   0.25   0.45   0.66   1.06 16000    1
b[83]    -0.26    0.00  0.20  -0.64  -0.39  -0.26  -0.13   0.12 16000    1
b[84]    -0.16    0.00  0.28  -0.69  -0.34  -0.16   0.03   0.40 16000    1
b[85]    -0.08    0.00  0.37  -0.80  -0.33  -0.09   0.16   0.65 16000    1
b[86]     1.38    0.00  0.44   0.53   1.09   1.38   1.67   2.27 16000    1
b[87]    -0.31    0.00  0.58  -1.43  -0.70  -0.31   0.07   0.82 16000    1
b[88]    -0.45    0.00  0.30  -1.04  -0.64  -0.45  -0.25   0.14 16000    1

Samples were drawn using NUTS(diag_e) at Mon Feb 27 13:56:26 2017.
For each parameter, n_eff is a crude measure of effective sample size,
and Rhat is the potential scale reduction factor on split chains (at 
convergence, Rhat=1).
