studyid,intid,year,spp1,z_spp1,spp2,z_spp2
HMK038,199,1995,Parus3 major,0.079287558,Glis glis,-0.587840664
HMK038,199,1996,Parus3 major,-0.333007742,Glis glis,-0.139633706
HMK038,199,1997,Parus3 major,-1.72450438,Glis glis,0.129290469
HMK038,199,1998,Parus3 major,0.646193595,Glis glis,-0.408557881
HMK038,199,1999,Parus3 major,0.646193595,Glis glis,-0.363737185
HMK038,199,2000,Parus3 major,1.934616408,Glis glis,0.577497426
HMK038,199,2001,Parus3 major,0.182361383,Glis glis,0.891242296
HMK038,199,2002,Parus3 major,0.079287558,Glis glis,1.518732037
HMK038,199,2003,Parus3 major,0.233898295,Glis glis,1.429090645
HMK038,199,2004,Parus3 major,1.110025808,Glis glis,-0.274095793
HMK038,199,2005,Parus3 major,1.316173458,Glis glis,0.756780209
HMK038,200,1980,Sitta europaea,-1.982188942,Glis glis,-1.797999449
HMK038,200,1981,Sitta europaea,-1.209135255,Glis glis,-0.363737185
HMK038,200,1982,Sitta europaea,-1.569893642,Glis glis,-0.453378576
HMK038,200,1983,Sitta europaea,1.264636545,Glis glis,-0.005171619
HMK038,200,1984,Sitta europaea,-1.51835673,Glis glis,-1.439433883
HMK038,200,1985,Sitta europaea,0.903878158,Glis glis,2.370325256
HMK038,200,1986,Sitta europaea,0.800804333,Glis glis,0.53267673
HMK038,200,1987,Sitta europaea,-0.07532318,Glis glis,-1.125689013
HMK038,200,1988,Sitta europaea,-0.07532318,Glis glis,0.53267673
HMK038,200,1989,Sitta europaea,0.285435208,Glis glis,-0.453378576
HMK038,200,1990,Sitta europaea,-0.745303042,Glis glis,-0.318916489
HMK038,200,1991,Sitta europaea,-0.48761848,Glis glis,-1.842820145
HMK038,200,1992,Sitta europaea,-0.229933917,Glis glis,0.308573252
HMK038,200,1993,Sitta europaea,0.285435208,Glis glis,1.025704384
HMK038,200,1994,Sitta europaea,0.182361383,Glis glis,-0.498199272
HMK038,200,1995,Sitta europaea,0.079287558,Glis glis,-0.587840664
HMK038,200,1996,Sitta europaea,-0.333007742,Glis glis,-0.139633706
HMK038,200,1997,Sitta europaea,-1.72450438,Glis glis,0.129290469
HMK038,200,1998,Sitta europaea,0.646193595,Glis glis,-0.408557881
HMK038,200,1999,Sitta europaea,0.646193595,Glis glis,-0.363737185
HMK038,200,2000,Sitta europaea,1.934616408,Glis glis,0.577497426
HMK038,200,2001,Sitta europaea,0.182361383,Glis glis,0.891242296
HMK038,200,2002,Sitta europaea,0.079287558,Glis glis,1.518732037
HMK038,200,2003,Sitta europaea,0.233898295,Glis glis,1.429090645
HMK038,200,2004,Sitta europaea,1.110025808,Glis glis,-0.274095793
HMK038,200,2005,Sitta europaea,1.316173458,Glis glis,0.756780209
